"id_question","id_version","version","date_creation","module","theme","type_item","niveau","public_cible","role_test","enonce_fr","options_fr","reponse_correcte","explication_fr","action_fr","idee_fausse_ciblee","enonce_en","options_en","explication_en","action_en","statut_traduction","source_documentaire","id_inventaire","secteur_validateur","date_validation","date_revision_prevue","visa_validation","statut","sensibilite","motif_suspension","historique","indice_difficulte","indice_discrimination","distracteur_dominant","n_observations","date_calcul_psy","media_associe","audio_ref","schema_version"
"DUSSC-M01-001","DUSSC-M01-001-v1","1","2026-08-02","M01","Reconnaissance et recours précoce","Situation","Grand public","A1;A2;A3;C1;D1","Ancre pré-test","Votre enfant de 8 ans a une diarrhée liquide très abondante depuis ce matin, comme de l'eau de riz. Que faites-vous en premier ?","[""Je lui donne moins à boire pour arrêter la diarrhée"", ""Je lui donne un antibiotique acheté au marché"", ""J'attends demain pour voir si cela s'arrête"", ""Je lui donne immédiatement une solution de réhydratation orale et je l'emmène sans attendre au centre de santé""]","D","Ce type de diarrhée fait perdre beaucoup d'eau très vite. Le danger vient de la déshydratation, pas de la diarrhée elle-même. Faire boire et consulter tôt sauve la vie.","Rendez-vous au centre de santé dès les premières heures. Ne réduisez jamais les liquides.","« Il faut arrêter de faire boire pour arrêter la diarrhée »","Your 8-year-old child has had very heavy watery diarrhoea since this morning, like rice water. What do you do first?","[""I give the child less to drink to stop the diarrhoea"", ""I give an antibiotic bought at the market"", ""I wait until tomorrow to see whether it stops"", ""I give oral rehydration solution immediately and take the child to the health centre without waiting""]","This kind of diarrhoea causes a very rapid loss of water. The danger comes from dehydration, not from the diarrhoea itself. Drinking and seeking care early saves lives.","Go to the health centre within the first hours. Never reduce fluids.","Traduit","","INV-B-009","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-002","DUSSC-M01-002-v1","1","2026-08-02","M01","Traitement de l'eau","Situation","Grand public","A1;A2;A3;C1;C2","Question courante","Vous n'êtes pas certain de la qualité de votre eau de boisson. Que faites-vous ?","[""Je la laisse reposer pour que les impuretés descendent"", ""Je la fais bouillir ou j'utilise un produit de traitement recommandé, puis je la conserve dans un récipient propre et couvert"", ""J'y ajoute du citron"", ""Je la bois si elle est claire""]","B","Une eau claire peut contenir des germes invisibles. Seuls l'ébullition ou un produit de traitement adapté les détruisent.","Traitez systématiquement l'eau de boisson en période d'épidémie de diarrhée.","« Une eau claire est une eau potable »","You are not sure about the quality of your drinking water. What do you do?","[""I let it settle so that the dirt sinks"", ""I boil it or use a recommended treatment product, then keep it in a clean covered container"", ""I add lemon to it"", ""I drink it if it looks clear""]","Clear water can still contain germs you cannot see. Only boiling or a suitable treatment product destroys them.","Always treat drinking water during a diarrhoea outbreak.","Traduit","","INV-B-009","MINSANTE;MINEE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-003","DUSSC-M01-003-v1","1","2026-08-02","M01","Lavage des mains","Connaissance","Grand public","A1;A2;A3;B3;B4;C1","Question courante","À quel moment le lavage des mains au savon est-il le plus important ?","[""Le matin au réveil"", ""Après avoir travaillé"", ""Avant de dormir"", ""Après être allé aux toilettes et avant de préparer ou de manger les aliments""]","D","Ce sont les moments où les germes passent des selles vers la bouche, directement ou par les aliments. Le savon décroche les germes que l'eau seule laisse en place.","Placez de l'eau et du savon près des toilettes et de la cuisine.","« Se rincer les mains à l'eau suffit »","When is handwashing with soap most important?","[""In the morning on waking"", ""After work"", ""Before going to bed"", ""After using the toilet and before preparing or eating food""]","These are the moments when germs travel from stool to the mouth, directly or through food. Soap removes germs that water alone leaves behind.","Keep water and soap near the toilet and the kitchen.","Traduit","","INV-B-009","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-004","DUSSC-M01-004-v1","1","2026-08-02","M01","Conservation de l'eau","Situation","Grand public","A1;A2;C1","Question courante","Vous avez traité votre eau de boisson. Comment la conservez-vous ?","[""Dans un récipient propre, couvert, dans lequel on puise avec un gobelet réservé à cet usage"", ""Dans un seau ouvert dans la cour"", ""Dans n'importe quel récipient, l'eau est déjà traitée"", ""En y plongeant la main pour puiser""]","A","Une eau bien traitée se recontamine facilement si le récipient est ouvert ou si l'on y plonge les mains. Le stockage compte autant que le traitement.","Utilisez un récipient à couvercle et à robinet lorsque c'est possible.","« Une fois l'eau traitée, il n'y a plus de risque »","You have treated your drinking water. How do you store it?","[""In a clean covered container, drawing water with a cup kept for that purpose"", ""In an open bucket in the yard"", ""In any container, since the water is already treated"", ""By dipping my hand in to draw it""]","Properly treated water is easily contaminated again if the container is open or if hands are dipped into it. Storage matters as much as treatment.","Use a container with a lid and a tap where possible.","Traduit","","INV-B-009","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-005","DUSSC-M01-005-v1","1","2026-08-02","M01","Solution de réhydratation orale","Connaissance","Grand public","A1;A2;C1;D1","Question courante","Comment préparer correctement un sachet de solution de réhydratation orale ?","[""Avec la moitié de la quantité d'eau indiquée, pour qu'elle soit plus efficace"", ""Avec du lait"", ""Avec la quantité d'eau propre exactement indiquée sur le sachet"", ""Avec une boisson sucrée du commerce""]","C","Une solution trop concentrée aggrave la déshydratation, une solution trop diluée ne réhydrate pas. La quantité d'eau indiquée n'est pas une approximation.","Utilisez de l'eau propre et respectez la dose du sachet. Faites boire par petites gorgées répétées.","« Plus la solution est concentrée, plus elle est efficace »","How should a sachet of oral rehydration solution be prepared correctly?","[""With half the stated amount of water, to make it stronger"", ""With milk"", ""With exactly the amount of clean water stated on the sachet"", ""With a sweet drink from a shop""]","A solution that is too strong worsens dehydration, and one that is too weak does not rehydrate. The stated amount of water is not an approximation.","Use clean water and follow the sachet instructions. Give small sips repeatedly.","Traduit","","INV-B-009","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-006","DUSSC-M01-006-v1","1","2026-08-02","M01","Alimentation pendant la diarrhée","Situation","Grand public","A1;A2;C1","Question courante","Pendant un épisode de diarrhée chez un enfant, que faut-il faire concernant l'alimentation et les boissons ?","[""Suspendre l'alimentation et les boissons jusqu'à l'arrêt de la diarrhée"", ""Ne donner que de l'eau sucrée"", ""Continuer à faire boire abondamment et à alimenter l'enfant, en plus de la solution de réhydratation"", ""Ne donner que du lait""]","C","Arrêter de nourrir et de faire boire affaiblit l'enfant et aggrave la déshydratation. L'alimentation doit être maintenue pendant et après l'épisode.","Poursuivez l'allaitement ou les repas habituels, en plus de la solution de réhydratation.","« Il faut mettre l'enfant à la diète pendant la diarrhée »","During an episode of diarrhoea in a child, what should be done about food and drink?","[""Stop food and drink until the diarrhoea ends"", ""Give only sugared water"", ""Continue giving plenty to drink and keep feeding the child, in addition to the rehydration solution"", ""Give only milk""]","Stopping food and drink weakens the child and worsens dehydration. Feeding must continue during and after the episode.","Continue breastfeeding or usual meals, in addition to the rehydration solution.","Traduit","","INV-B-009","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-007","DUSSC-M01-007-v1","1","2026-08-02","M01","Assainissement","Attitude","Grand public","A2;C1;C2","Question courante","Dans un village sans latrines suffisantes, quelle pratique augmente le plus le risque de choléra ?","[""La défécation à l'air libre, surtout près des points d'eau"", ""Balayer les cours chaque matin"", ""Le stockage du bois de chauffe"", ""L'élevage de volailles""]","A","Les selles laissées à l'air libre contaminent les sols puis les points d'eau, en particulier lors des pluies. C'est la principale voie d'entretien des épidémies de choléra.","Utilisez et entretenez une latrine. Signalez à la commune les besoins en assainissement.","« La défécation à l'air libre est sans conséquence en milieu rural »","In a village with too few latrines, which practice most increases the risk of cholera?","[""Open defecation, especially near water points"", ""Sweeping the yards each morning"", ""Storing firewood"", ""Keeping poultry""]","Stool left in the open contaminates the soil and then water points, particularly during the rains. This is the main way cholera outbreaks are sustained.","Use and maintain a latrine. Report sanitation needs to your council.","Traduit","","INV-B-009","MINSANTE;MINEE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-008","DUSSC-M01-008-v1","1","2026-08-02","M01","Lavage des mains","Connaissance","Grand public","A1;A2;C1","Question courante","Se laver les mains à l'eau seule, sans savon :","[""Est aussi efficace qu'avec du savon"", ""Ne sert absolument à rien"", ""Est plus efficace si l'eau est chaude"", ""Enlève une partie des salissures mais laisse de nombreux germes""]","D","Le savon décolle les germes de la peau et permet de les éliminer avec l'eau. Sans savon, une grande partie reste sur les mains.","Prévoyez toujours du savon ou de la cendre propre à côté du point de lavage.","« L'eau seule suffit pour se laver les mains »","Washing your hands with water only, without soap:","[""Is as effective as using soap"", ""Serves no purpose at all"", ""Works better if the water is hot"", ""Removes some dirt but leaves many germs behind""]","Soap loosens germs from the skin so that water can wash them away. Without soap, a large share stays on the hands.","Always keep soap or clean ash beside the handwashing point.","Traduit","","INV-B-009","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-009","DUSSC-M01-009-v1","1","2026-08-02","M01","Transmission du choléra","Connaissance","Grand public","A1;A2;A3;C1;C2","Question courante","Comment attrape-t-on le choléra ?","[""Par l'air, en respirant près d'un malade"", ""En buvant de l'eau ou en mangeant des aliments contaminés par des selles"", ""Par le regard ou le toucher d'un malade guéri"", ""Par les piqûres de moustiques""]","B","Le choléra se transmet par l'eau et les aliments souillés par les selles d'une personne malade. C'est pourquoi l'eau propre et l'hygiène des mains sont les protections principales.","Traitez l'eau, lavez-vous les mains au savon, et mangez des aliments bien cuits et couverts.","« Le choléra se transmet par l'air »","How does a person catch cholera?","[""Through the air, by breathing near a sick person"", ""By drinking water or eating food contaminated by stool"", ""By looking at or touching someone who has recovered"", ""Through mosquito bites""]","Cholera passes through water and food soiled by the stool of a sick person. This is why clean water and hand hygiene are the main protections.","Treat your water, wash your hands with soap, and eat food that is well cooked and covered.","Traduit","","INV-B-009","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-010","DUSSC-M01-010-v1","1","2026-08-02","M01","Précautions autour d'un décès","Situation","Intermédiaire","A1;A2;C2;D1","Question courante","Une personne décède après une diarrhée sévère pendant une épidémie. Quelle conduite est la plus sûre pour la famille ?","[""Procéder à la toilette funéraire habituelle en famille"", ""Transporter le corps sans en informer les autorités sanitaires"", ""Organiser rapidement un grand rassemblement avec repas collectif"", ""Suivre les consignes des services de santé pour la prise en charge du corps et éviter les manipulations sans protection""]","D","Le corps et les vêtements peuvent rester contaminants. Les rassemblements avec repas collectif ont provoqué de nombreuses flambées lors d'épidémies de diarrhée.","Informez le centre de santé avant toute organisation funéraire pendant une épidémie.","« Un corps ne présente aucun risque de transmission »","A person dies after severe diarrhoea during an outbreak. Which course of action is safest for the family?","[""Carry out the usual funeral washing as a family"", ""Move the body without informing the health authorities"", ""Quickly organise a large gathering with a shared meal"", ""Follow the instructions of the health services for handling the body and avoid unprotected contact""]","The body and clothing can remain contaminated. Gatherings with shared meals have caused many outbreaks during diarrhoea epidemics.","Inform the health centre before making any funeral arrangements during an outbreak.","Traduit","","INV-B-009","MINSANTE","","","","En revue éditoriale","Sensible","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-011","DUSSC-M01-011-v1","1","2026-08-02","M01","Hygiène des marchés","Situation","Grand public","B4;A1;D3","Question courante","Sur un marché, quel élément protège le mieux les clients contre les maladies liées à l'eau et aux aliments ?","[""Un étal décoré et bien rangé"", ""Un point d'eau propre avec savon, des étals surélevés et l'évacuation régulière des déchets"", ""Des prix affichés clairement"", ""Un grand nombre de vendeurs""]","B","L'eau propre pour se laver les mains et rincer les ustensiles, des étals hors du sol et l'absence de déchets accumulés réduisent directement la contamination des aliments.","Demandez à votre commune l'installation de points d'eau et la collecte régulière des déchets du marché.","« Un marché propre à l'œil est un marché sans risque »","In a market, which feature best protects customers against water- and food-borne diseases?","[""A tidy, well-decorated stall"", ""A clean water point with soap, raised stalls and regular waste removal"", ""Clearly displayed prices"", ""A large number of sellers""]","Clean water for washing hands and rinsing utensils, stalls off the ground and no piled-up waste directly reduce food contamination.","Ask your council to provide water points and regular waste collection at the market.","Traduit","","INV-B-009","MINSANTE;MINDDEVEL","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-012","DUSSC-M01-012-v1","1","2026-08-02","M01","Gestion des déchets ménagers","Attitude","Grand public","A1;A2;C1","Question courante","Que faire des déchets ménagers lorsqu'il n'y a pas de collecte organisée ?","[""Les jeter dans le cours d'eau le plus proche"", ""Les brûler à l'intérieur de la maison"", ""Les rassembler dans un récipient fermé, en attendant une évacuation vers un point autorisé"", ""Les laisser derrière la maison""]","C","Jeter les déchets dans l'eau contamine la source utilisée en aval. Les laisser à l'air libre attire rongeurs et insectes jusqu'aux habitations.","Interpellez votre commune sur l'organisation de la collecte des déchets.","« Jeter les déchets dans la rivière les fait disparaître »","What should be done with household waste where there is no organised collection?","[""Throw it into the nearest watercourse"", ""Burn it inside the house"", ""Gather it in a closed container while awaiting removal to an authorised point"", ""Leave it behind the house""]","Throwing waste into water contaminates the source used downstream. Leaving it in the open attracts rodents and insects into homes.","Raise the question of waste collection with your council.","Traduit","","INV-B-009","MINEPDED;MINDDEVEL","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-013","DUSSC-M01-013-v1","1","2026-08-02","M01","Signes de gravité","Connaissance","Professionnel","D1;C2","Question courante","Chez un patient présentant une diarrhée aqueuse abondante, quel signe impose une prise en charge immédiate ?","[""Des yeux enfoncés, une soif intense, un pli cutané persistant ou une somnolence"", ""Une seule selle liquide dans la journée"", ""Une légère fatigue"", ""Une perte d'appétit isolée""]","A","Ces signes traduisent une déshydratation avancée. À ce stade, la réhydratation doit être conduite en structure de soins sans délai.","Orientez immédiatement vers la structure de prise en charge et débutez la réhydratation sans attendre le transfert.","« Tant que le patient parle, il n'y a pas d'urgence »","In a patient with heavy watery diarrhoea, which sign calls for immediate management?","[""Sunken eyes, intense thirst, skin that stays pinched, or drowsiness"", ""A single loose stool in the day"", ""Slight tiredness"", ""Loss of appetite alone""]","These signs indicate advanced dehydration. At this stage, rehydration must be carried out in a care facility without delay.","Refer immediately to the treatment facility and begin rehydration without waiting for transfer.","Traduit","","INV-B-009","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M01-014","DUSSC-M01-014-v1","1","2026-08-02","M01","Sources d'eau","Situation","Grand public","A2;C1;C2","Question courante","En période d'épidémie de choléra, quelle source d'eau présente le risque le plus élevé ?","[""L'eau de rivière ou de mare utilisée directement, sans traitement"", ""Un forage entretenu et fermé"", ""L'eau bouillie conservée couverte"", ""L'eau du robinet traitée""]","A","Les eaux de surface reçoivent directement les ruissellements et les selles. Elles sont la source la plus souvent en cause lors des flambées.","En période d'épidémie, traitez toute eau qui ne provient pas d'un réseau contrôlé.","« L'eau courante d'une rivière se purifie d'elle-même »","During a cholera outbreak, which water source carries the highest risk?","[""River or pond water used directly, without treatment"", ""A maintained and covered borehole"", ""Boiled water kept covered"", ""Treated tap water""]","Surface water receives run-off and stool directly. It is the source most often involved in outbreaks.","During an outbreak, treat any water that does not come from a controlled supply.","Traduit","","INV-B-009","MINSANTE;MINEE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
